,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,date_posted,days_listed
62,23300.0,2018,nissan frontier crew cab sv,good,6,gas,27493.0,other,pickup,white,2018-10-13,36
63,1900.0,1994,jeep grand cherokee laredo,good,6,gas,207.0,automatic,SUV,grey,2018-07-27,9
64,9950.0,2008,toyota 4runner,excellent,6,gas,106274.11,automatic,SUV,silver,2018-06-08,53
65,3000.0,2010,nissan versa,like new,4,gas,200412.0,automatic,hatchback,silver,2018-09-23,33
66,4200.0,2012,ford focus,like new,4,gas,144273.0,automatic,sedan,silver,2018-06-11,19
67,23800.0,2019,nissan frontier crew cab sv,good,6,gas,10899.0,other,pickup,silver,2019-02-28,30
68,16500.0,2012,ford f-250 sd,good,8,gas,123262.0,automatic,truck,silver,2018-09-25,47
69,26900.0,2014,chevrolet silverado 1500 crew,good,8,gas,68607.0,automatic,pickup,white,2018-09-08,10
70,5900.0,2000,ford f250 super duty,good,8,diesel,202752.0,automatic,pickup,red,2018-07-08,32
71,9950.0,2014,dodge charger,good,8,gas,102878.0,automatic,sedan,white,2018-06-02,28
72,11950.0,2008,chevrolet silverado,good,8,gas,170000.0,automatic,truck,black,2019-03-13,38
73,4826.0,2000,gmc yukon,like new,8,gas,226111.0,automatic,SUV,grey,2018-06-30,14
74,9599.0,2011,chevrolet camaro,good,6,gas,100680.0,manual,coupe,silver,2018-10-26,18
75,26000.0,2017,ford mustang gt coupe 2d,good,8,gas,130043.055,other,coupe,yellow,2018-11-26,31
76,18800.0,2015,chevrolet camaro lt coupe 2d,good,6,gas,33926.0,other,coupe,grey,2019-01-16,152
77,18000.0,2010,ram 1500,good,8,gas,50500.0,automatic,truck,white,2018-06-16,11
78,2800.0,2010,chevrolet colorado,good,5,gas,200800.0,automatic,pickup,white,2018-07-24,10
79,2950.0,2003,chevrolet silverado,good,8,gas,230000.0,automatic,pickup,white,2018-05-06,24
80,32000.0,2017,honda pilot,like new,6,gas,32104.0,automatic,SUV,white,2018-07-12,100
81,8995.0,2012,toyota rav4,excellent,4,gas,124526.0,automatic,SUV,black,2018-12-14,24
82,9995.0,2017,hyundai sonata,excellent,4,gas,105985.0,automatic,sedan,white,2018-05-02,18
83,24600.0,2013,ford mustang gt coupe 2d,good,8,gas,22474.0,other,coupe,white,2018-10-28,22
84,6500.0,2012,ford fusion se,excellent,6,gas,90000.0,automatic,sedan,grey,2018-09-20,94
85,3995.0,2008,subaru forester,excellent,4,gas,165000.0,automatic,SUV,white,2018-12-24,19
86,39950.0,2018,chevrolet silverado,excellent,8,gas,18500.0,automatic,truck,white,2018-08-05,16
87,26000.0,2015,chevrolet silverado 1500 crew,good,8,gas,92281.0,automatic,pickup,white,2019-04-02,82
88,18700.0,2017,nissan frontier crew cab sv,good,6,gas,40002.0,other,pickup,white,2018-06-01,44
89,5500.0,2004,ford explorer,good,6,gas,140355.0,automatic,SUV,white,2018-09-10,35
90,22900.0,2014,ford f150 supercrew cab xlt,good,6,gas,73711.0,automatic,pickup,white,2019-02-27,141
91,26700.0,2015,ford f150 supercrew cab xlt,good,6,gas,48278.0,other,pickup,brown,2018-09-22,64
92,21500.0,2019,nissan frontier crew cab sv,good,6,gas,16168.0,other,pickup,white,2019-03-29,70
93,19700.0,2017,chevrolet camaro lt coupe 2d,good,6,gas,35807.0,other,coupe,black,2019-03-11,33
94,24200.0,2018,chevrolet camaro lt coupe 2d,good,6,gas,130043.055,other,coupe,grey,2018-07-20,57
95,22800.0,2013,ford f-350 sd,good,8,diesel,207738.0,automatic,truck,brown,2018-11-08,62
96,28400.0,2017,ford mustang gt coupe 2d,good,8,gas,6665.0,other,coupe,blue,2018-05-16,46
97,29900.0,2018,ford mustang gt coupe 2d,good,8,gas,3827.0,automatic,coupe,yellow,2019-03-22,48
98,22500.0,2019,nissan frontier crew cab sv,good,6,gas,24209.0,other,pickup,white,2019-03-03,73
99,24600.0,2014,chevrolet silverado 1500 crew,good,6,gas,85048.0,automatic,pickup,silver,2018-08-19,96
100,21900.0,2018,nissan frontier crew cab sv,good,6,gas,27576.0,other,pickup,white,2018-11-22,58
101,4600.0,2012,nissan versa,good,4,gas,146000.0,automatic,sedan,silver,2018-06-07,32
102,28900.0,2017,ford f150 supercrew cab xlt,good,6,gas,130043.055,automatic,pickup,white,2018-09-18,58
103,33900.0,2018,chevrolet silverado 1500 crew,good,8,gas,11315.0,other,pickup,white,2019-03-01,2
104,4800.0,2006,honda accord,like new,4,gas,195000.0,automatic,sedan,silver,2018-12-12,49
105,4500.0,2012,chevrolet impala,excellent,6,gas,145000.0,automatic,sedan,white,2018-10-10,38
106,21595.0,2015,chevrolet silverado 1500,excellent,8,gas,92634.0,automatic,truck,black,2018-11-15,53
107,37000.0,2018,chevrolet silverado 1500 crew,good,8,gas,30465.0,other,pickup,white,2019-01-13,55
108,22900.0,2019,nissan frontier crew cab sv,good,6,gas,130043.055,other,pickup,blue,2019-04-15,67
109,10999.0,2010,ford edge,good,6,gas,98193.0,automatic,SUV,blue,2018-08-11,78
110,2900.0,2000,nissan maxima,good,6,gas,170000.0,automatic,sedan,green,2018-09-23,12
111,2700.0,2005,chevrolet equinox,good,6,gas,150352.0,automatic,SUV,silver,2019-04-02,49
112,2900.0,2000,nissan maxima,good,6,gas,130043.055,automatic,sedan,green,2019-04-09,27
113,9500.0,2009,ford f-250,good,8,gas,189490.0,automatic,truck,white,2018-08-03,6
114,4900.0,2011,nissan sentra,good,4,gas,116000.0,automatic,sedan,silver,2018-11-30,19
115,24000.0,2018,nissan frontier crew cab sv,good,6,gas,16295.0,other,pickup,blue,2018-05-26,30
116,18200.0,2012,nissan frontier crew cab sv,good,6,gas,130043.055,other,pickup,white,2018-09-19,30
117,24700.0,2015,ford mustang gt coupe 2d,good,8,gas,37270.0,other,coupe,black,2019-04-16,41
118,26900.0,2014,chevrolet silverado 1500 crew,good,8,gas,68607.0,automatic,pickup,black,2018-07-28,18
119,19500.0,2014,ford f150,excellent,8,gas,116000.0,automatic,truck,grey,2018-06-26,40
120,2000.0,1993,ford f-150,good,8,gas,258225.0,automatic,truck,red,2019-03-06,34
121,13995.0,2010,chevrolet silverado 1500,excellent,8,gas,151442.0,automatic,truck,silver,2018-12-20,72
122,39990.0,2015,chevrolet corvette,like new,8,gas,17340.0,manual,coupe,red,2018-07-14,38
123,11995.0,2012,chevrolet suburban,excellent,8,gas,158487.0,automatic,SUV,grey,2018-11-10,16
124,15995.0,2013,jeep wrangler,excellent,6,gas,138806.0,automatic,SUV,black,2018-09-08,112
125,7995.0,2012,chevrolet cruze,excellent,4,gas,81559.0,automatic,sedan,black,2018-12-16,57
126,28250.0,2017,chevrolet silverado 1500,excellent,8,gas,13808.0,automatic,truck,white,2018-08-17,11
127,6995.0,2004,ford expedition,excellent,8,gas,92546.0,automatic,SUV,blue,2018-05-23,18
128,13900.0,2016,dodge grand caravan,excellent,6,gas,62711.0,automatic,van,black,2019-04-11,37
129,28975.0,2017,chevrolet silverado 1500,excellent,8,gas,8354.0,automatic,truck,black,2019-01-07,13
130,14995.0,2011,jeep wrangler,excellent,6,gas,118371.0,automatic,SUV,orange,2019-01-25,49
131,25600.0,2017,ford mustang gt coupe 2d,good,8,gas,42957.0,other,coupe,black,2019-01-24,83
132,12990.0,2011,ford expedition,good,8,gas,124775.0,automatic,SUV,custom,2018-06-11,50
133,6300.0,2010,ford taurus,excellent,6,gas,155743.0,automatic,sedan,silver,2018-11-01,30
134,26400.0,2016,ford mustang gt coupe 2d,good,8,gas,16890.0,other,coupe,white,2018-05-15,10
135,17300.0,2014,chevrolet camaro lt coupe 2d,good,6,gas,27915.0,other,coupe,red,2019-01-16,25
136,26700.0,2017,ford mustang gt coupe 2d,good,8,gas,26192.0,other,coupe,black,2019-02-14,17
137,18975.0,2012,chevrolet silverado 1500,excellent,8,gas,24390.0,automatic,truck,white,2018-11-15,61
138,31800.0,2018,chevrolet silverado 1500 crew,good,8,gas,22838.0,automatic,pickup,white,2019-01-29,29
139,3995.0,1999,acura tl,good,6,gas,180000.0,automatic,sedan,black,2018-06-19,52
140,18600.0,2012,ford mustang gt coupe 2d,good,8,gas,96562.0,other,coupe,red,2018-12-20,14
141,3995.0,2001,ford ranger,good,6,gas,102000.0,automatic,truck,brown,2018-05-27,79
142,3650.0,2012,kia soul,excellent,4,gas,106274.11,automatic,wagon,white,2018-07-11,50
143,7975.0,2007,gmc sierra,excellent,8,gas,228409.0,automatic,truck,white,2018-10-27,15
144,9950.0,2008,toyota 4runner,excellent,6,gas,207348.0,automatic,SUV,black,2018-10-28,11
145,3595.0,2005,chevrolet impala,good,6,gas,147667.0,automatic,sedan,red,2018-11-12,30
146,9850.0,2008,chevrolet silverado 1500,good,8,gas,182225.0,automatic,truck,blue,2018-08-15,36
147,18600.0,2012,ford mustang gt coupe 2d,good,8,gas,96562.0,other,coupe,red,2018-07-31,59
148,5995.0,2006,ford ranger,good,6,gas,148600.0,automatic,truck,silver,2018-11-10,35
149,6900.0,2011,subaru outback,excellent,6,gas,135445.0,automatic,SUV,blue,2018-11-02,57
150,8995.0,2005,ram 1500,good,8,gas,130043.055,automatic,truck,grey,2019-03-10,33
151,31400.0,2016,chevrolet silverado 1500 crew,good,8,gas,15070.0,automatic,pickup,black,2019-01-17,64
152,24200.0,2018,nissan frontier crew cab sv,good,6,gas,11034.0,other,pickup,blue,2018-06-29,9
153,15950.0,2015,honda cr-v,excellent,4,gas,106274.11,other,SUV,black,2018-09-22,12
154,7500.0,1997,ford mustang,good,8,gas,185000.0,manual,coupe,white,2019-01-05,9
155,11950.0,2003,jeep wrangler,excellent,6,gas,97211.0,automatic,SUV,custom,2018-08-01,15
156,16950.0,2010,jeep wrangler,excellent,6,gas,85490.0,other,SUV,red,2018-12-26,29
157,6500.0,2009,hyundai santa fe,good,6,gas,98000.0,manual,SUV,silver,2019-03-18,27
158,15000.0,2009,toyota tacoma,excellent,6,gas,221000.0,automatic,truck,black,2019-02-20,30
159,52000.0,2008,ford f350 super duty,good,8,diesel,117500.0,automatic,truck,grey,2018-06-27,24
160,10950.0,2011,ford expedition,excellent,8,gas,130390.0,automatic,SUV,white,2018-12-23,33
161,23000.0,2018,honda accord,like new,4,gas,15000.0,manual,sedan,grey,2018-08-22,37
162,3950.0,2009,subaru impreza,excellent,4,gas,137882.0,automatic,hatchback,silver,2018-08-22,19
163,5295.0,2005,ford f-150,good,8,gas,225000.0,automatic,pickup,white,2018-06-19,15
164,6995.0,2009,ford ranger,good,4,gas,130043.055,automatic,pickup,white,2019-03-31,130
165,8999.0,2013,ford escape,excellent,4,gas,122964.0,automatic,wagon,grey,2018-06-03,31
166,5999.0,2012,nissan versa,excellent,4,gas,76737.0,automatic,sedan,silver,2018-07-31,3
167,10997.0,2014,ford escape,excellent,4,gas,106274.11,automatic,wagon,grey,2018-11-17,10
168,10000.0,2006,ford f-150,excellent,8,gas,181000.0,automatic,truck,silver,2018-07-17,9
169,17999.0,2008,gmc sierra 2500hd,excellent,8,diesel,101959.0,automatic,truck,white,2018-05-06,46
170,7999.0,2012,nissan rogue,excellent,4,gas,93496.0,automatic,wagon,black,2018-10-15,29
171,28200.0,2012,ford f-350 sd,excellent,8,diesel,129000.0,automatic,truck,black,2018-07-15,30
172,2000.0,2002,honda civic lx,good,4,gas,216875.0,automatic,coupe,red,2018-05-21,47
173,22914.0,2015,bmw x5,excellent,6,gas,69686.0,automatic,SUV,white,2018-08-11,19
174,19900.0,2013,ford f-150,excellent,6,gas,79657.0,automatic,truck,silver,2018-10-30,42
175,34900.0,2017,ford f-250 sd,excellent,8,gas,106274.11,automatic,truck,white,2018-11-12,13
176,24495.0,2016,ford explorer,excellent,6,gas,50123.0,automatic,SUV,white,2018-11-17,49
177,5300.0,2010,dodge charger,good,8,gas,156000.0,automatic,sedan,white,2018-07-04,43
178,22900.0,2015,gmc sierra 1500,excellent,8,gas,85190.0,automatic,truck,custom,2018-05-15,24
179,14685.0,2011,toyota tacoma,excellent,6,gas,145671.0,automatic,truck,black,2019-01-03,8
180,24869.0,2015,gmc sierra 1500,excellent,8,gas,82056.0,automatic,truck,black,2019-03-20,23
181,5995.0,2006,honda odyssey,excellent,6,gas,106274.11,automatic,van,red,2019-04-10,33
182,4999.0,2005,toyota camry le,excellent,4,gas,105000.0,automatic,sedan,silver,2019-03-01,60
183,7800.0,2012,chevrolet traverse,good,6,gas,157000.0,automatic,SUV,blue,2018-11-30,4
184,12500.0,2009,cadillac escalade,excellent,8,gas,159000.0,automatic,SUV,black,2018-10-01,26
185,4975.0,2007,honda odyssey,excellent,6,gas,205000.0,automatic,mini-van,brown,2018-10-28,35
186,2795.0,2003,volkswagen jetta,good,4,gas,178950.0,manual,sedan,black,2018-05-20,98
187,500.0,2004,toyota corolla,like new,4,gas,78822.49,automatic,sedan,blue,2018-09-17,24
188,2800.0,2006,ford escape,excellent,6,gas,106274.11,automatic,SUV,white,2018-05-11,5
189,41800.0,2018,chevrolet silverado 3500hd,good,8,gas,148459.0,automatic,truck,white,2019-03-19,11
190,10800.0,2015,toyota camry,excellent,4,gas,28150.0,automatic,sedan,black,2018-09-25,24
191,2750.0,2006,honda civic lx,good,4,gas,200.0,manual,sedan,black,2018-07-06,41
192,7995.0,2008,jeep grand cherokee,excellent,6,gas,104613.0,automatic,SUV,silver,2018-05-23,23
193,22500.0,2013,ford f-250 sd,good,8,gas,128415.0,automatic,truck,green,2019-03-03,32
194,9995.0,2013,chrysler town & country,excellent,6,gas,81999.0,automatic,van,blue,2019-01-07,71
